url,retailer,in_cart,discarding_reason,key,date,available_price
https://www.dsw.com/en/us/product/blowfish-play-slip-on-sneaker/393700#!#Blue6.5%20Medium,dsw.com,No,All Sizes are OOS,5128967,11/24/2021,24.98
https://www.journeys.com/product/vans-candl-era-59-skate-shoe-saffron-navy-497630#!#00497630/9/M,journeys.com,No,All Sizes are OOS,5271205,11/24/2021,54.99
http://www.kohls.com/product/prd-3650352/product.jsp#!#58646434,kohls.com,No,All Sizes are OOS,4896391,11/24/2021,41.99
https://www.dsw.com/en/us/product/blowfish-billa-sandal-kids/371282#!#Coral/Rose%20Gold%20Metallic/Tan2%20Youth%20Medium,dsw.com,No,All Sizes are OOS,3811012,11/24/2021,14.98
https://www.dsw.com/en/us/product/lifestride-suki-pump/494578#!#Light%20Pink6.5%20Medium,dsw.com,No,All Sizes are OOS,5073713,11/24/2021,59.99
https://www.nordstrom.com/s/5778188#!#na,shopnordstrom.com,No,"price in [-1, -2, -3, ""-1"", ""-2"", ""-3"", ""NA"", ""#NA"", ""N/A"", ""null"",""na"",""none"",""nan""]",5031125,11/24/2021,NA
https://www.academy.com/shop/pdp/adidas-alliance-sport-sackpack-201732798#repChildCatSku=102777769,academy.com,No,All Sizes are OOS,3850801,11/24/2021,14.99
http://www.kohls.com/product/prd-2147216/product.jsp#!#61170692,kohls.com,No,All Sizes are OOS,3850801,11/24/2021,13.5
https://www.dsw.com/en/us/product/lifestride-ripley-boot/405219#!#Cognac%20Sweater%20Knit%20Panel6%20Medium,dsw.com,No,All Sizes are OOS,4182921,11/24/2021,79.99
https://www.dsw.com/en/us/product/florsheim-uptown-oxford/458247#!#Cognac13%20Medium,dsw.com,No,All Sizes are OOS,4807618,11/24/2021,109.99
http://www.kohls.com/product/prd-4467279/product.jsp#!#60968896,kohls.com,No,All Sizes are OOS,5172530,11/24/2021,18.0
https://www.dsw.com/en/us/product/blowfish-fruit-slip-on-sneaker/476929#!#Green/Multicolor%20Heel9%20Medium,dsw.com,No,All Sizes are OOS,4474516,11/24/2021,44.98
https://www.asics.com/us/en-us/gel-contend-5-walker/p/ANA_1132A042-100.html#!#color=White/%20Glacier%20Grey&men_size=9&women_size=%20,asics.com,No,All Sizes are OOS,4683850,11/24/2021,39.95
http://www.kohls.com/product/prd-3725012/product.jsp#!#18486947,kohls.com,No,All Sizes are OOS,4683850,11/24/2021,45.49
https://www.dsw.com/en/us/product/blowfish-billa-sandal-kids/371282#!#Light%20Brown4%20Youth%20Medium,dsw.com,No,All Sizes are OOS,3530093,11/24/2021,19.98
https://www.dsw.com/en/us/product/blowfish-play-slip-on-sneaker/393700#!#White8.5%20Medium,dsw.com,No,All Sizes are OOS,3879757,11/24/2021,39.99
https://www.dsw.com/en/us/product/roxy-libbie-oxford-sneaker/499604#!#Beige%20Cheetah%20Print5%20Medium,dsw.com,No,All Sizes are OOS,5110454,11/24/2021,44.99
https://www.dsw.com/en/us/product/blowfish-billa-sandal-kids/513276#!#Rose%20Gold%20Metallic4%20Youth%20Medium,dsw.com,No,All Sizes are OOS,4978776,11/24/2021,24.99
https://www.bloomingdales.com/shop/product/liverpool-chloe-skinny-jeans-in-bright-white?ID=3232207,bloomingdales.com,No,"price in [-1, -2, -3, ""-1"", ""-2"", ""-3"", ""NA"", ""#NA"", ""N/A"", ""null"",""na"",""none"",""nan""]",4686010,11/24/2021,NA
https://www.dsw.com/en/us/product/blowfish-billa-sandal-kids/371282#!#Gold/Rose%20Gold/Silver%20Metallic2%20Youth%20Medium,dsw.com,No,All Sizes are OOS,3826654,11/24/2021,24.98
http://www.kohls.com/product/prd-4435505/product.jsp#!#70304002,kohls.com,No,All Sizes are OOS,5296401,11/24/2021,34.75
http://www.kohls.com/product/prd-4147304/product.jsp#!#64215904,kohls.com,No,All Sizes are OOS,5283248,11/24/2021,69.99
https://www.dsw.com/en/us/product/cl-by-laundry-beach-side-sandal/482901#!#Beige/Black%20Cheetah%20Print6%20Medium,dsw.com,No,All Sizes are OOS,5133563,11/24/2021,34.98
http://www.kohls.com/product/prd-4483564/product.jsp#!#75726229,kohls.com,No,All Sizes are OOS,5066225,11/24/2021,75.0
http://www.kohls.com/product/prd-4377563/product.jsp#!#61839290,kohls.com,No,All Sizes are OOS,4446990,11/24/2021,28.04
http://www.kohls.com/product/prd-4212862/product.jsp#!#49364709,kohls.com,No,All Sizes are OOS,5159791,11/24/2021,39.99
http://www.kohls.com/product/prd-4420490/product.jsp#!#62290198,kohls.com,No,All Sizes are OOS,5160735,11/24/2021,57.8
https://www.dsw.com/en/us/product/clarks-linvale-sondra-pump/503599#!#Pewter%20Metallic12%20Medium,dsw.com,No,All Sizes are OOS,5160735,11/24/2021,64.99
https://www.rei.com/product/165349#!#1653490005,rei.com,No,All Sizes are OOS,4970416,11/24/2021,89.95
https://www.neimanmarcus.com/p/chantelle-high-impact-active-bra-prod230210151#!#42D%20EU%20(42D%20US)-ULTRA%20NUDE,neimanmarcus.com,No,All Sizes are OOS,5301402,11/24/2021,74.0
https://www.bloomingdales.com/shop/product/chantelle-high-impact-active-bra?ID=3458019#!#3340443054633,bloomingdales.com,No,pers >= 100 or pers <= -100:,5301402,11/24/2021,94662.0
https://www.dsw.com/en/us/product/bandolino-edition-ballet-flat/474503#!#Silver%20Metallic%20Fabric7%20Medium,dsw.com,No,All Sizes are OOS,4714894,11/24/2021,59.99
http://www.kohls.com/product/prd-4600788/product.jsp#!#30763639,kohls.com,No,All Sizes are OOS,5268516,11/24/2021,25.24
http://www.kohls.com/product/prd-2147216/product.jsp#!#34134925,kohls.com,No,All Sizes are OOS,4894550,11/24/2021,7.2
https://www.bloomingdales.com/shop/product/tommy-bahama-desert-python-reversible-bikini-bottom?ID=3541872,bloomingdales.com,No,"price in [-1, -2, -3, ""-1"", ""-2"", ""-3"", ""NA"", ""#NA"", ""N/A"", ""null"",""na"",""none"",""nan""]",4957797,11/24/2021,NA
https://www.neimanmarcus.com/p/tommy-bahama-desert-python-reversible-bikini-swim-bottom-prod226400163#!#X-Large-CAFFE,neimanmarcus.com,No,All Sizes are OOS,4957797,11/24/2021,27.0
https://www.dsw.com/en/us/product/josmo-traditional-1st-walker-high-top-sneaker-kids/417294#!#Black4%20Toddler%20Medium,dsw.com,No,All Sizes are OOS,5316419,11/24/2021,34.99
http://www.kohls.com/product/prd-4618163/product.jsp#!#49727563,kohls.com,No,All Sizes are OOS,5162012,11/24/2021,57.8
https://www.neimanmarcus.com/p/tommy-bahama-breaker-bay-reversible-lace-up-one-piece-swimsuit-prod238480055#!#8-BLACK%20REV,neimanmarcus.com,No,All Sizes are OOS,5284149,11/24/2021,42.7
https://www.rei.com/product/176871#!#1768710031,rei.com,No,All Sizes are OOS,5091930,11/24/2021,130.0
https://www.dsw.com/en/us/product/reef-cushion-bounce-stargazer-flip-flop/508999#!#Navy10%20Medium,dsw.com,No,All Sizes are OOS,4960806,11/24/2021,29.99
http://www.kohls.com/product/prd-4455160/product.jsp#!#17850995,kohls.com,No,All Sizes are OOS,4956846,11/24/2021,57.8
http://www.kohls.com/product/prd-4146625/product.jsp#!#33319624,kohls.com,No,All Sizes are OOS,5265044,11/24/2021,69.99
https://www.dsw.com/en/us/product/nina-ranata-sandal/499646#!#Silver%20Metallic5%20Medium,dsw.com,No,All Sizes are OOS,5098484,11/24/2021,39.98
https://www.dsw.com/en/us/product/stacy-adams-raiden-cap-toe-oxford/472563#!#Dark%20Brown9.5%20Medium,dsw.com,No,All Sizes are OOS,4879011,11/24/2021,64.98
https://www.academy.com/shop/pdp/adidas-mens-game-court-tennis-shoes#repChildCatSku=128613981,academy.com,No,All Sizes are OOS,5213907,11/24/2021,64.99
http://www.kohls.com/product/prd-2804414/product.jsp#!#34012518,kohls.com,No,All Sizes are OOS,4890137,11/24/2021,12.0
